Time,AM/PM,Home,vs,Away,Epoch Time,Home Score,Away Score,Override Text,Override Type
8:30,AM,ISKL,vs,SAS,1365640200,,,,
10:15,AM,JIS,vs,ISB,1365646500,,,,
12:00,PM,ISM,vs,TAS,1365652800,,,,
2:00,PM,SAS,vs,JIS,1365660000,,,,
3:45,PM,TAS,vs,ISKL,1365666300,,,,
5:30,PM,ISB,vs,ISM,1365672600,,,,
,,,,,,,,,
8:00,AM,TAS,vs,SAS,1365724800,,,,
9:45,AM,ISM,vs,JIS,1365731100,,,,
11:30,AM,ISKL,vs,ISB,1365737400,,,,
2:00,PM,SAS,vs,ISM,1365746400,,,,
3:45,PM,JIS,vs,ISKL,1365752700,,,,
5:30,PM,ISB,vs,TAS,1365759000,,,,
,,,,,,,,,
8:00,AM,ISKL,vs,ISM,1365811200,,,,
9:45,AM,TAS,vs,JIS,1365817500,,,,
11:30,AM,SAS,vs,ISB,1365823800,,,,
2:30,PM,Consolation,,,1365834600,,,,
4:15,PM,Final,,,1365840900,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
