Teams,1,2,3,4,5,6,7,Runs,Hits,Errors
ISKL,1,0,0,0,2,2,0,5,8,6
SAS,4,0,2,1,0,4,0,11,15,0
,,,,,,,,,,
JIS,0,0,2,1,0,-,-,3,6,5
ISB,5,0,2,2,9,-,-,18,15,7
,,,,,,,,,,
ISM,3,5,0,5,1,3,-,17,15,4
TAS,0,2,2,1,9,2,-,16,17,7
,,,,,,,,,,
JIS,0,0,0,0,0,-,-,0,2,9
SAS,4,2,1,10,-,-,-,17,15,3
,,,,,,,,,,
ISKL,0,1,0,0,0,0,0,1,6,3
TAS,3,0,3,0,1,4,-,11,18,2
,,,,,,,,,,
ISM,0,0,2,0,4,0,-,6,10,5
ISB,7,6,0,3,1,-,-,17,13,2
,,,,,,,,,,
SAS,4,3,0,0,2,0,1,10,12,2
TAS,0,0,2,2,2,3,0,9,15,8
,,,,,,,,,,
JIS,2,2,0,1,3,3,0,11,16,4
ISM,3,3,0,0,7,2,-,15,22,6
,,,,,,,,,,
ISB,5,1,0,6,2,0,2,16,23,1
ISKL,0,0,0,0,0,0,3,3,6,6
,,,,,,,,,,
ISM,0,0,1,0,3,0,-,4,6,5
SAS,0,6,0,2,1,-,-,5,5,2
,,,,,,,,,,
ISKL,2,4,9,6,1,-,-,22,15,2
JIS,1,0,0,0,0,-,-,1,4,9
,,,,,,,,,,
TAS,0,0,0,1,3,,-,4,9,5
ISB,6,0,0,0,3,2,-,11,14,1
,,,,,,,,,,
ISM,2,1,1,0,3,0,5,12,19,0
ISKL,0,2,2,0,0,0,0,4,13,1
,,,,,,,,,,
JIS,0,1,0,0,0,1,2,4,9,4
TAS,1,0,0,2,0,3,-,6,10,2
,,,,,,,,,,
ISB,0,0,1,0,0,0,1,2,5,0
SAS,4,0,4,0,1,0,-,9,19,4
